GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SESEditor,behaviourtreetograph,JTreeToGraphBehaviour,404,0,8,0,84,0,7,0,3,0
SESEditor,behaviourtreetograph,JTreeToGraphBehaviour.MyTreeModelListener,25,0,0,0,8,0,5,0,5,0
SESEditor,behaviourtreetograph,JTreeToGraphBehaviour.new MouseAdapter() {...},241,0,28,0,47,0,16,0,2,0
SESEditor,behaviourtreetograph,JTreeToGraphBehaviour.new mxEventSource.mxIEventListener() {...},18,0,0,0,6,0,2,0,2,0
SESEditor,behaviourtreetograph,JTreeToGraphBehaviour.new mxEventSource.mxIEventListener() {...},17,0,4,0,4,0,4,0,2,0
SESEditor,behaviourtreetograph,JtreeToGraphSave,185,0,8,0,45,0,9,0,5,0
SESEditor,behaviourtreetograph,test,60,0,4,0,13,0,4,0,2,0
SESEditor,behaviourtreetograph,JtreeToGraphGeneral,824,0,120,0,212,0,74,0,14,0
SESEditor,behaviourtreetograph,JtreeToGraphModify,181,0,14,0,62,0,9,0,2,0
SESEditor,behaviourtreetograph,JtreeToGraphDelete,513,0,52,0,126,0,33,0,7,0
SESEditor,behaviourtreetograph,JtreeToGraphNext,486,0,76,0,114,0,46,0,8,0
SESEditor,behaviourtreetograph,JtreeToGraphConvert,784,0,88,0,202,0,58,0,14,0
SESEditor,behaviourtreetograph,JtreeToGraphCheck,71,0,4,0,28,0,9,0,7,0
SESEditor,odme.core,FindByName,72,0,10,0,18,0,7,0,2,0
SESEditor,odme.core,CustomIconRenderer,103,0,12,0,20,0,8,0,2,0
SESEditor,odme.core,FlagVariables,3,0,0,0,1,0,1,0,1,0
SESEditor,odme.core,UndoableTreeModel.NodeRemoveEdit,74,0,0,0,17,0,4,0,4,0
SESEditor,odme.core,FileConvertion,1345,0,162,0,419,0,98,0,17,0
SESEditor,odme.core,EditorUndoableEditListener,15,0,0,0,5,0,3,0,3,0
SESEditor,odme.core,XmlJTree,87,0,8,0,27,0,6,0,2,0
SESEditor,odme.core,UndoableTreeModel,100,0,2,0,25,0,8,0,7,0
SESEditor,odme.core,CustomIconRendererProject,68,0,8,0,15,0,6,0,2,0
SESEditor,odme.core,UndoableTreeModel.NodeChangeEdit,52,0,0,0,16,0,4,0,4,0
SESEditor,odme.core,UndoableTreeModel.NodeAddEdit,76,0,0,0,17,0,4,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphCreate.new MouseAdapter() {...},673,0,90,0,163,0,51,0,6,0
SESEditor,odme.jtreetograph,JtreeToGraphDelete,1668,0,188,0,415,0,112,0,18,0
SESEditor,odme.jtreetograph,JtreeToGraphCreate.new mxEventSource.mxIEventListener() {...},17,0,4,0,4,0,4,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphCreate.new mxEventSource.mxIEventListener() {...},13,0,0,0,5,0,2,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphImport,387,0,34,0,96,0,19,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd,2591,0,228,0,579,0,135,0,21,0
SESEditor,odme.jtreetograph,JtreeToGraphPrune.new ItemListener() {...},16,0,2,0,4,0,3,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphPrune.new ItemListener() {...},16,0,2,0,4,0,3,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphPrune.new KeyListener() {...},35,0,4,0,12,0,6,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphVariables,78,0,0,0,25,0,2,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphNext,496,0,76,0,119,0,46,0,8,0
SESEditor,odme.jtreetograph,JtreeToGraphCreate,686,0,28,0,156,0,17,0,3,0
SESEditor,odme.jtreetograph,JtreeToGraphPrune,2276,0,230,0,503,0,145,0,30,0
SESEditor,odme.jtreetograph,JtreeToGraphConvert,986,0,102,0,251,0,69,0,18,0
SESEditor,odme.jtreetograph,JtreeToGraphDelete.new ItemListener() {...},13,0,0,0,3,0,2,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphModify,515,0,46,0,169,0,29,0,6,0
SESEditor,odme.jtreetograph,JtreeToGraphCheck,71,0,4,0,28,0,9,0,7,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},143,0,30,0,22,0,19,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},143,0,30,0,22,0,19,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},203,0,44,0,31,0,26,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},159,0,32,0,24,0,20,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphGeneral,886,0,124,0,229,0,77,0,15,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},37,0,4,0,7,0,6,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new ItemListener() {...},194,0,38,0,29,0,21,0,2,0
SESEditor,odme.jtreetograph,JtreeToGraphAdd.new KeyListener() {...},48,0,6,0,9,0,7,0,4,0
SESEditor,odme.jtreetograph,JtreeToGraphSave,292,0,12,0,78,0,14,0,8,0
SESEditor,odme.contextmenus,GraphCellPopUp,174,0,22,0,40,0,13,0,2,0
SESEditor,odme.contextmenus,TreePopup,350,0,52,0,70,0,30,0,4,0
SESEditor,odme.contextmenus,GraphPopup.new ActionListener() {...},49,0,5,0,10,0,6,0,2,0
SESEditor,odme.contextmenus,GraphPopup,61,0,4,0,9,0,3,0,1,0
SESEditor,odme.contextmenus,TreePopup.new ActionListener() {...},27,0,4,0,8,0,5,0,2,0
SESEditor,odme.contextmenus,ProjectTreePopup,21,0,0,0,7,0,2,0,2,0
SESEditor,odme.contextmenus,ProjectTreePopup.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.contextmenus,GraphCellPopUp.new ActionListener() {...},40,0,6,0,8,0,5,0,2,0
SESEditor,odme.contextmenus,GraphCellPopUp.new ActionListener() {...},62,0,12,0,24,0,13,0,2,0
